Data,Giornale,Link
20/10/2025,ALTOADIGE,https://www.altoadige.it/scienza-e-tecnica/alla-maker-faire-il-pubblico-tifa-per-i-robot-calciatori-1.4204554
20/10/2025,ANSA,https://www.ansa.it/amp/canale_scienza/notizie/maker_faire/2025/10/20/alla-maker-faire-il-pubblico-tifa-per-i-robot-calciatori-_0c287f7a-868f-4ac2-8610-e9b2888e2800.html
19/10/2025,TUSCIATIMES,https://www.tusciatimes.eu/maker-faire-rome-2025-linnovazione-prende-vita-al-gazometro-ostiense/
17/10/2025,ANSA,https://www.ansa.it/canale_scienza/multimedia/videogallery/2025/10/17/al-via-ledizione-2025-della-maker-faire-fonte-leonardo-de-cosmo_fca8a4c1-4475-4997-85f6-d2d8a8676645.html
17/10/2025,RAINEWS,https://www.rainews.it/tgr/lazio/video/2025/10/torna-a-roma-maker-faire-la-tre-giorni-dedicata-a-innovazione-tecnologica-e-scienza-932fcd60-990c-4e07-8dc2-84b7269009e5.html
15/10/2025,PRISMA,https://www.prismacompany.it/prisma-al-maker-faire-2025-insieme-al-team-spqr-del-diag-sapienza-per-fare-la-differenza-nellinnovazione/
14/10/2025,RAISCUOLA,https://www.raiscuola.rai.it/raiscuola/articoli/2025/10/Maker-Faire-Rome-2025-f5cded92-831f-433d-bd2f-398571965cff.html
13/10/2025,LAREPUBBLICA,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.repubblica.it/tecnologia/dossier/cronache-dal-futuro/2025/10/13/news/tra_robotica_e_ia_dai_calciatori_umanoidi_ai_robot_subacquei_a_caccia_di_meduse-424909452/amp/&ved=2ahUKEwi2gIu6pquQAxXO2gIHHbNYGL0QxfQBKAB6BAgKEAE&usg=AOvVaw2GkprGerjVYgXfl3KPc02J
13/10/2025,CORRIERE DELLA SERA,https://roma.corriere.it/notizie/cronaca/25_ottobre_13/a-roma-torna-maker-faire-la-fiera-dell-innovazione-tra-razzi-energia-e-giochi-con-l-ai-af60acd8-3a9d-4c3f-b43e-13b7bfa9cxlk_amp.shtml
13/10/2025,L'OSSERVATORE D'ITALIA,https://www.osservatoreitalia.eu/maker-faire-rome-the-european-edition-gli-inventori-tornano-a-roma/
13/10/2025,CORRIERE DELLA SERA,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://roma.corriere.it/notizie/cronaca/25_ottobre_13/a-roma-torna-maker-faire-la-fiera-dell-innovazione-tra-razzi-energia-e-giochi-con-l-ai-af60acd8-3a9d-4c3f-b43e-13b7bfa9cxlk.shtml&ved=2ahUKEwikkMLhp6uQAxW40AIHHYgnG6AQxfQBKAB6BAgKEAE&usg=AOvVaw1ocWh1rYRy0PPDKxxihEHT
10/10/2025,DRONEZINE,https://www.dronezine.it/457254/droni-protagonisti-a-maker-faire-rome-2025-dal-17-al-19-ottobre/
03/10/2025,IL CORRIERE DELLA SICUREZZA,https://www.ilcorrieredellasicurezza.it/maker-faire-rome-the-european-edition-dal-17-al-19-ottobre-2025-al-gazometro-ostiense/
29/09/2025,BARAONDANEWS,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://baraondanews.it/a-pechino-i-primi-giochi-mondiali-dei-robot-umanoidi-presenti-anche-due-giovani-ceretani-valerio-spagnoli-e-eugenio-bugli-per-il-team-delluniversita-la-sapienza/&ved=2ahUKEwjW48a1pKuQAxVC-gIHHS1jEc0QxfQBKAB6BAgKEAE&usg=AOvVaw3iISnIOquF8ksVkTDwrr3v
29/09/2025,ROMATODAY,https://www.romatoday.it/eventi/maker-faire-al-gazometro-17-19-ottobre-2025.html
19/09/2025,ROBOHUB,https://robohub.org/self-supervised-learning-for-soccer-ball-detection-and-beyond-interview-with-winners-of-the-robocup-2025-best-paper-award/
19/09/2025,AIHUB,https://aihub.org/2025/09/19/self-supervised-learning-for-soccer-ball-detection-and-beyond-interview-with-winners-of-the-robocup-2025-best-paper-award/
03/09/2025,MONDODIGITALE,https://www.mondodigitale.org/notizie/dai-nao-ai-robot-umanoidi-booster-t1
16/08/2025,TGRAI,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.rainews.it/tgr/lazio/video/2025/08/robot-della-sapienza-in-cina-per-i-world-games--6cc7de67-ccc8-4e6b-b4f2-3fb1689f1afb.html&ved=2ahUKEwjtkbmnpauQAxV12QIHHWNvNYwQxfQBKAB6BAgIEAE&usg=AOvVaw2hTyVH9bcht3ll3PkyOVFq
24/07/2025,PRISMA,https://www.prismacompany.it/prisma-e-team-spqr-dip-diag-la-sapienza-insieme-al-robocup-2025-intervista-valerio-spagnoli-ci-racconta-la-sua-robocup/
23/07/2024,MONDODIGITALE,https://www.mondodigitale.org/notizie/spqr-team-al-3deg-posto-della-classifica-mondiale
27/06/2025,PRISMA,https://www.prismacompany.it/prisma-e-main-sponsor-del-team-spqr-diag-alla-robocup-2025-sosteniamo-il-futuro-della-robotica-e-dellintelligenza-artificiale/
04/10/2025,MAKERFAIREROME,https://makerfairerome.eu/en/blog/soccer-a-team-of-1-5-meter-tall-robots-will-be-on-the-pitch-for-you-at-maker-faire-rome-2025/
